<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
04/01/21;000000;274.67;276.6;270.61;272;48799460
05/01/21;000000;272.67;275.7;270.28;275.2;45554100
06/01/21;000000;275.9;275.92;271.62;272.93;40905340
08/01/21;000000;275.11;283.99;275.11;283.64;88672940
11/01/21;000000;282.75;292.95;279.48;289.49;112210400
12/01/21;000000;290.5;296.07;286.7;289.99;78890100
13/01/21;000000;291.01;292.46;283.1;283.78;67489780
14/01/21;000000;284;286.9;279.06;284.79;74616910
15/01/21;000000;282.55;286.16;276;276.9;73687110
18/01/21;000000;275.73;281.3;272.95;279.79;73676310
19/01/21;000000;280.98;282.8;276.42;278.19;55682850
20/01/21;000000;278.63;282.49;276.77;279.8;47858610
21/01/21;000000;280.78;281.54;272.84;274.4;83765230
22/01/21;000000;273;273.3;266.78;268.25;86899970
25/01/21;000000;270.54;273.63;261.65;265.3;114068450
26/01/21;000000;262.9;269.57;262.61;269.34;75094890
27/01/21;000000;270.07;273.8;265.02;265.5;100046360
28/01/21;000000;263.5;267.17;261.17;265.96;81088040
29/01/21;000000;263.92;264.75;257.36;258.11;120025230
01/02/21;000000;260;264.06;258.73;263.8;63050800
02/02/21;000000;265;268.39;263.05;263.15;79360220
03/02/21;000000;264.25;268.14;261.05;263.53;77585700
04/02/21;000000;263.21;270.6;262.34;270.11;78873410
05/02/21;000000;271.99;272.57;268.87;271.7;71697410
08/02/21;000000;273.01;275.58;272.32;275.2;51720410
09/02/21;000000;275.99;276.29;267.19;268.98;91773840
10/02/21;000000;269.28;270.99;265.2;265.9;63033470
11/02/21;000000;265.49;266.9;263.75;264.7;38615960
12/02/21;000000;263.99;266.44;258.55;266;81585980
15/02/21;000000;268.49;271.87;267.07;271.81;56766380
16/02/21;000000;272.31;272.8;268.27;270.9;62992920
17/02/21;000000;270.92;275.07;267.56;270.9;79087080
18/02/21;000000;270.35;272.46;266.21;266.99;58686040
19/02/21;000000;266.12;272.81;264.19;271.34;59193580
20/02/21;000000;271;271;269.02;270.51;8738250
22/02/21;000000;270.37;274.46;268.12;273.71;48095910
24/02/21;000000;272.12;272.75;269.42;271.9;64101830
25/02/21;000000;273.6;276.48;270.65;270.71;79566390
26/02/21;000000;268;272.49;266.43;270.17;74446940
01/03/21;000000;273;274.73;271.13;273.58;35741070
02/03/21;000000;271.89;280;271.6;279.1;71481180
03/03/21;000000;281.7;283.83;277.63;278.01;64113880
04/03/21;000000;278.53;281.96;273.63;274.75;91841080
05/03/21;000000;276.12;278.98;272.76;277.5;83301590
09/03/21;000000;278.71;286.38;277.56;285.79;72592390
10/03/21;000000;285.23;288;281;282.24;55067560
11/03/21;000000;283.86;286.38;282.3;286;47203100
12/03/21;000000;286.3;287.49;282.82;284.93;51362640
15/03/21;000000;286.07;292.92;285.28;292.74;67756210
16/03/21;000000;293.07;293.88;288.61;292.33;53891160
17/03/21;000000;292.38;293.25;279.6;283.35;110247040
18/03/21;000000;284.06;285.79;278.24;279.25;74060790
19/03/21;000000;279;286.31;278.03;285.47;84214320
22/03/21;000000;285;291.2;283.08;288.65;62697960
23/03/21;000000;287.6;288.3;282.11;282.6;70668340
24/03/21;000000;283.3;288;282.25;285.79;46388650
25/03/21;000000;286.33;287.03;283.85;286.66;35114120
26/03/21;000000;288.6;292.75;288.32;291.22;55889260
29/03/21;000000;289.72;294.09;289.26;293.3;43631060
30/03/21;000000;294.6;295.72;291.5;293.25;38637210
31/03/21;000000;294;294.42;290.26;291.02;46972400
01/04/21;000000;292;294.72;288.43;290.24;51532880
02/04/21;000000;290.81;292.4;289.14;291.7;19262050
05/04/21;000000;290.8;291.48;287.07;288.78;35298970
06/04/21;000000;289;289.43;281.37;281.5;77497430
07/04/21;000000;281.66;284.29;278.54;283.98;74087530
08/04/21;000000;284.62;286.2;282.17;283.89;51161440
09/04/21;000000;283.44;283.79;280.09;281.07;40018040
12/04/21;000000;278.21;285.35;278;281.75;57020860
13/04/21;000000;282.9;288.2;281.14;287.95;67878750
14/04/21;000000;290;291.58;286.72;287.18;58993600
15/04/21;000000;281.5;285.19;280.87;283.72;87528200
16/04/21;000000;285.7;289.3;284.08;288.5;63355410
19/04/21;000000;287.9;289.25;286.04;287.72;51231790
20/04/21;000000;288.9;290.92;286.59;287.42;63069010
21/04/21;000000;288.04;290.2;287.06;289.25;49661560
22/04/21;000000;289.04;294.67;286.93;292.18;73621930
23/04/21;000000;293.16;294.2;290.78;293.19;42551750
26/04/21;000000;294.3;296.48;293.1;295.27;45676020
27/04/21;000000;295.74;300.25;295.61;298.5;62822260
28/04/21;000000;298.84;299.26;295.89;298.49;40549200
29/04/21;000000;301.05;301.84;294.79;297.1;56771630
30/04/21;000000;296.92;298.1;295.03;297.73;35662800
04/05/21;000000;298.7;304.23;298.2;303.7;60366580
05/05/21;000000;304.01;306.03;302.71;305.99;41550150
06/05/21;000000;306.29;314.98;306.25;314.72;62553900
07/05/21;000000;316.01;319.16;315.48;317.94;56349650
10/05/21;000000;318.27;320.19;314.31;320.19;59207110
11/05/21;000000;303.05;309.48;301;307.16;79006340
12/05/21;000000;307.4;309.24;302;302.02;56079760
13/05/21;000000;302.15;306.86;299.33;306.74;57632810
14/05/21;000000;308.2;308.24;302.33;304.1;26784400
17/05/21;000000;303.5;305.24;301.01;303.94;28344110
18/05/21;000000;305.04;306.62;303.33;305.78;35434660
19/05/21;000000;304.38;304.88;295.1;297;71633830
20/05/21;000000;297.94;298.37;293;296.72;58479500
21/05/21;000000;296.82;302.98;294.9;301.23;51370530
24/05/21;000000;302.05;304.75;299.59;300.7;30764260
25/05/21;000000;301.78;307.4;301.57;306.8;37526860
26/05/21;000000;307.81;309.5;305.33;307.01;35255410
27/05/21;000000;306.39;313.9;305.72;312.72;70727920
28/05/21;000000;313.3;314;309.06;309.56;35412970
31/05/21;000000;309.3;312.6;308.82;310.79;23651780
01/06/21;000000;312.6;314.17;310.03;311.6;37510420
02/06/21;000000;311.59;314;310.61;313.98;26981700
03/06/21;000000;314.8;315.71;309.87;312.41;34459100
04/06/21;000000;313;313;307.6;310.94;37077640
07/06/21;000000;310.03;316;308.57;315.53;40149880
08/06/21;000000;315.26;316.18;312.5;314.83;34909350
09/06/21;000000;315.01;315.9;312.9;314.78;25115980
10/06/21;000000;314.8;316.58;313.76;314.62;29201370
11/06/21;000000;314.88;315.08;312.5;313;21902100
14/06/21;000000;313.48;314.87;310.4;314.12;25494830
15/06/21;000000;314.13;315.6;312.4;312.51;29704890
16/06/21;000000;312.5;314.54;311.03;311.61;38224960
17/06/21;000000;311;315.42;310.46;313.9;44164540
18/06/21;000000;313.44;313.82;308.13;309.3;62327060
21/06/21;000000;308.45;310.4;306.56;310.4;36086020
